1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
薛瑞红的主要奖项是1994年利勒哈默尔冬奥会第4名1994年速度滑冰世锦赛500米金牌1994年速度滑冰世界杯500米金牌1996年哈尔滨亚冬会500米第几名？,第一名
薛瑞红那是在哪年的训练中，她的左膝关节扭伤，后又发生误诊，伤势有所加重，影响了全年的训练，导致1993年第七届全运会比赛失败，仅列全能第6名？,1992年
薛瑞红1996年哈尔滨亚洲冬季运动会上夺得了500米冠军，直至1996年赛季获得了多少个全国冠军？,12个
薛瑞红1996年哈尔滨亚洲冬季运动会上夺得了500米冠军，直至1996年赛季获得了多少个世界冠军？,7个
薛瑞红获得1994年利勒哈默尔冬奥会获得了女子500米速滑第几名？,第四名
薛瑞红在哪年卡尔加里世界速度滑冰锦标赛上，打破女子短距离全能世界纪录，成为新中国第一个刷新速滑世界纪录的女选手？,1994年
薛瑞红冬运会代表黑龙江省获几项冠军？,四项
薛瑞红代表中国参加哪年盐湖城冬奥会在美国的火炬传递？,2002年
薛瑞红在上小学时，瑞红不但品学兼优并开始显露出体育才能和兴趣，曾经打过乒乓球，练过短跑，200、多少米跑是同年龄段学生中的佼佼者？,400
薛瑞红第七届全运会比赛失败，仅列全能第几名？,6
薛瑞红1993年底，第17届冬奥会选拔赛500米、1000米双获第几？,第一
在马淑霞教练的支持下，并经齐市体委同意，于什么时候师从国家队教练杨忠杰？,34486
薛瑞红是哪年北京奥运会火炬传递火炬齐齐哈尔站火炬手？,2008
薛瑞红在上小学时，瑞红不但品学兼优并开始显露出体育才能和兴趣，曾经打过乒乓球，练过短跑，多少、400米跑是同年龄段学生中的佼佼者？,200
薛瑞红哪年6月被选入区业余体校速滑班，学滑冰，从此逐渐喜欢上了速滑运动？,1978
薛瑞红她那不达目的誓不罢休的坚强意志再一次顶住压力，治好伤，投入艰苦的训练，在稳定多少米成绩的同时，重点苦练1000米，从加强体能训练入手，提高耐力，解决后程无力的弱点？,500
为什么融雪剂在雪水中溶解了盐之后就难以再形成冰块？,因为盐水的凝固点比水的凝固点低
为什么融雪剂，压强越大，冰的熔点越低？,因为我们知道，水是一种特殊的物质，即结冰后密度变小（一般物质固态下的密度大于液态下的密度）
为什么融雪剂也不环保？,因为缓蚀剂，但缓蚀剂多为亚硝酸盐，只能用于钢筋混凝土桥梁，不能用于非桥路面，而且一旦渗入土壤会污染地下水
融雪剂相比去年，今年哈尔滨清雪时限延长了一天半时间，主干路积雪按规定应在多少小时内清运完毕？,60
融雪剂国内融雪剂年产量在多少万吨左右，出口量在1/3？,100
融雪剂其优点是价格便宜，仅相当于有机类融雪剂的多少，但它对大型公共基础设施的腐蚀是很严重的？,43475
融雪剂氯化钙的好处在于它的冰点比氯化钠更低，-多少℃以下都能用，对植物、土壤的损害略小，可是也不能说它环保？,20
融雪屋据统计，融雪屋每小时能融雪25吨，一夜间，融雪屋就解决积雪多少吨？,300
诺尔特的中文名怎么称呼？,诺尔特
诺尔特的国籍是？,德国
诺尔特的运动项目是哪项？,雪车
诺尔特查维斯基获得了2018-2019赛季国际雪车联合会雪车欧洲杯奥地利因斯布鲁克站雪车女子双人座第几名？,第二名
诺尔特在什么时候获得了2018-2019赛季国际雪车联合会雪车欧洲杯奥地利因斯布鲁克站雪车女子双人座亚军？,43477
谜一样的索契冬奥会原题是谜一样的索契冬奥会闭幕式五环呼应开幕式，燃烧了多少天的索契冬奥会圣火在2月23日的闭幕式后熄灭？,17天
索契冬奥会圣火在2月多少日的闭幕式后熄灭？,23
谜一样的索契冬奥会大多数时候的气温都在多少摄氏度左右？,5
谜一样的索契冬奥会俄罗斯参加冬奥会的历史最好成绩是第多少名，大部分时间保持在第4名的位置，不过上一届滑落到第11位？,3
谢维里亚宁的中文名怎么称呼？,谢维里亚宁
谢维里亚宁的出生日期是什么时候？,1887年
谢维里亚宁的国籍是？,俄罗斯
费什的中文名怎么称呼？,费什
费什的国籍是？,加拿大
费什的运动项目是哪项？,速度滑冰
费什2019年2月2日，费什获得了2018-2019赛季国际滑联速度滑冰世界杯挪威哈马尔站男子5000米B组第几名？,第一名
费什在什么时候，费什获得了2018-2019赛季国际滑联速度滑冰世界杯挪威哈马尔站男子5000米B组第一名？,43498
速降滑雪，又称高山滑雪。是其中一项于高山上进行的冬季运动项目，当中设有多少个小项？,10个
速降滑雪的中文名怎么称呼？,速降滑雪
速降滑雪的别名怎么称呼？,高山滑雪
速降滑雪的起源地在哪？,挪威
速降滑雪高山滑雪与其它冬季运动项目有所不同，它并非起源于北欧，而是于北极圈中生活的挪威人，他们在公元前多少年就以滑雪技术打猎？,3000年
速降滑雪内刃是在什么位置？,穿好滑雪板后位于脚内侧的边刃称内刃
速降滑雪外刃是在什么位置？,穿好滑雪板后位于脚外侧的边刃称外刃
速降滑雪滑雪靴是由哪两部分组成？,由内胆和外壳两部分组成
速降滑雪如何卸滑雪板？,用滑雪杖尖打开后部固定器即可
速降滑雪在陡坡上如何穿滑雪板？,滑雪板与滚落线垂直放置，并保持双板平行
速降滑雪如何检查滑雪靴与滑雪板的连接是否牢固？,引身向上跳动
速降滑雪如何原地掉头?,双板平行与滚落线垂直站立
速降滑雪如何握滑雪杖？,将滑雪杖的配带套在手腕上
速降滑雪如何选择摔倒？,向下蹲
速降滑雪摔倒后如何站起来？,轻微活动一下身体，检查是否受伤
速降滑雪如何掌握八字行走技术？,面向山的上方站立，滑雪板呈外八字形放置，并用内刃卡住雪面，防止滑动
速降滑雪为什么对股四头肌的加强训练？,股四头肌的加强对于膝盖的保护是非常重要的
为什么速降滑雪必须加强小腿肌肉的训练？,因为对于滑雪来说，脚部力量是十分重要的
为什么速降滑雪在每天滑雪前后都做一做这些简单的伸展运动，是非常必要的？,因为因为一般来说，在滑雪时，你都会消耗大量的体力，
速降滑雪挪威人，他们在公元前3000年就以滑雪技术打猎。后来传至北欧与俄罗斯等地。在什么时候，高山滑雪普及至欧、美等地。从此为后，高山滑雪就流行起来？,1850年代
速降滑雪在滑行中，运动员要经过多个约0.75米，宽4至多少米的旗门？,6
速降滑雪男子赛中的旗门多达55至75个，而女子运动员要经过40到多少个旗门？,60
速降滑雪运动员在每次比赛时，扣分不可多于120，比赛场地的宽度最低下限是多少米？,30
速降滑雪由于距离不长的关系，因此男子运动员的在两分钟以内就能完成，而女子运动员的成绩为1分40秒左右，而速度可超过多少公里？,100
速降滑雪运动员在每次比赛时，扣分不可多于多少，比赛场地的宽度最低下限是30米？,120
速降滑雪当中，男子运动员要滑行多少至650米，经过最少35个旗门，而女子运动员要滑行350至500米，经过最少30个旗门，每位运动员只需要滑行一次，便得出成绩，所用时间愈少，成绩愈好？,500
速降滑雪滑降赛是其中一个高山滑雪的小项，当中，男子运动员需要滑行多少至1000米，女子运动员要滑行500至700米的路程到达终点？,800
速降滑雪由于距离不长的关系，因此男子运动员的在两分钟以内就能完成，而女子运动员的成绩为多少分40秒左右，而速度可超过100公里？,1
速降滑雪当中的规则与滑行距离都是无异，男子运动员要滑行多少至1440米，而女子运动员则要滑行740至1060米，最快到达终点的运动员为金牌得主？,1080
速降滑雪中国极限运动协会首届举办于多少年，是目前中国极限运动的权威赛事，是极限运动专业人才以及广大爱好者的嘉年华盛会？,1999
邯郸御菲苑滑雪场的中文名怎么称呼？,邯郸御菲苑滑雪场
邯郸御菲苑滑雪场的成立时间是哪年？,2003年
邯郸御菲苑滑雪场的占地面积多少亩？,20亩
邯郸御菲苑滑雪场雪场建有初级滑雪道1条，雪圈道2条，魔毯1条，雪地摩托车多少辆？,四辆
邯郸御菲苑滑雪场雪场建有初级滑雪道多少条，雪圈道2条，魔毯1条，雪地摩托车四辆；滑雪服、雪鞋、雪橇、头盔、雪圈、雪地自行车等滑雪设备一应俱全？,1
邯郸御菲苑滑雪场御菲苑滑雪场是邯郸东部唯一一家滑雪场，距离邯郸多少公里，行车30分钟，占地20亩，是距离邯郸最近的滑雪场？,30
金吉松的中文名怎么称呼？,金吉松
金吉松的国籍是？,韩国
金吉松的运动项目是哪项？,钢架雪车
金吉松2019年1月11日，金吉松获得了2018-2019赛季国际雪车联合会钢架雪车北美杯加拿大卡尔加里站男子组第几名？,第二名
金吉松2019年1月12日，金吉松以1分53秒46获得了2018-2019赛季国际雪车联合会钢架雪车北美杯加拿大卡尔加里站第二场男子组第几名？,第一名
金吉松2019年1月21日，金吉松以49秒76获得了2018-2019赛季国际雪车联合会钢架雪车洲际杯美国帕克城站男子组第几名？,第三名
金吉松2019年1月25日，金吉松以1分51秒66获得了2018-2019赛季国际雪车联合会钢架雪车洲际杯美国帕克城站男子组第几名？,第四名
金吉松2019年1月25日，金吉松以多少的成绩获得了2018-2019赛季国际雪车联合会钢架雪车洲际杯美国帕克城站男子组第四名？,1分51秒66
金吉松在什么时候，金吉松以1分51秒66获得了2018-2019赛季国际雪车联合会钢架雪车洲际杯美国帕克城站男子组第四名？,43490
金吉松多少年1月12日，金吉松以1分53秒46获得2018-2019赛季国际雪车联合会钢架雪车北美杯加拿大卡尔加里站第二场男子组冠军？,2019
金坚的中文名怎么称呼？,金坚
金坚的国籍是？,中国
金坚的运动项目是哪项？,雪车
金坚的外文名怎么称呼？,JianJin
金坚2018年10月，金坚/吴志涛/叶杰龙组合获得了第二届全国雪车锦标赛男子双人车滑行第几名？,第一名
金坚刘蔚以1分45秒66获得了2018-2019赛季国际雪车联合会北美杯男子双人雪车第几名？,第十四名
金坚在什么时候，金坚组合以1分46秒11获得了2018-2019赛季国际雪车联合会北美杯男子双人雪车第二天比赛第14名？,43413
金坚2018年11月20日，金坚/刘蔚以多少的成绩获得了2018-2019赛季国际雪车联合会北美杯美国帕克城站男子双人雪车第十名？,1分39秒00
金坚2018年11月20日，金坚/刘蔚以1分39秒00获得了2018-2019赛季国际雪车联合会北美杯美国帕克城站男子双人雪车第几名？,第十名
金坚2018年11月21日，金坚组合以多少的成绩获得了2018-2019赛季国际雪车联合会北美杯美国帕克城站男子双人雪车第二天比赛第十三名？,1分40秒10
金坚2018年11月21日，金坚组合以1分40秒10获得了2018-2019赛季国际雪车联合会北美杯美国帕克城站男子双人雪车第二天比赛第几名？,第十三名
金坚2018年11月22日，金坚帮助中国队以1分37秒88获得了2018-2019赛季国际雪车联合会北美杯美国帕克城站男子四人车第二场第几名？,第九名
金坚2018年12月13日，金坚/吴志涛以1分42秒72获得了2018-2019赛季国际雪车联合会欧洲杯德国国王湖站雪车男子双人座并列第几名？,第十七名
金坚2018年12月17日，金坚/吴志涛/史昊/吴青泽以1分40秒90获得了2018-2019赛季国际雪车联合会欧洲杯德国国王湖站雪车男子四人座第几名？,第十五名
金坚2018年12月17日，金坚/吴青泽/吴志涛/史昊以1分39秒91获得了2018-2019赛季国际雪车联合会欧洲杯德国国王湖站雪车男子四人车第二场第几名？,第十三名
金坚2019年1月10日，金坚/吴志涛以1分45秒97获得了2018-2019赛季国际雪车联合会雪车欧洲杯奥地利因斯布鲁克站雪车男子双人座第几名？,第十四名
